x	y	label	showSelected	PANEL
NA	NA	Andorra	Andorra	1
NA	NA	United Arab Emirates	United Arab Emirates	1
NA	NA	Afghanistan	Afghanistan	1
NA	NA	Antigua and Barbuda	Antigua and Barbuda	1
NA	NA	Albania	Albania	1
NA	NA	Armenia	Armenia	1
NA	NA	Angola	Angola	1
NA	NA	Argentina	Argentina	1
NA	NA	American Samoa	American Samoa	1
NA	NA	Austria	Austria	1
NA	NA	Australia	Australia	1
NA	NA	Aruba	Aruba	1
NA	NA	Azerbaijan	Azerbaijan	1
NA	NA	Bosnia and Herzegovina	Bosnia and Herzegovina	1
NA	NA	Barbados	Barbados	1
NA	NA	Bangladesh	Bangladesh	1
NA	NA	Belgium	Belgium	1
NA	NA	Burkina Faso	Burkina Faso	1
NA	NA	Bulgaria	Bulgaria	1
NA	NA	Bahrain	Bahrain	1
NA	NA	Burundi	Burundi	1
NA	NA	Benin	Benin	1
NA	NA	Bermuda	Bermuda	1
NA	NA	Brunei Darussalam	Brunei Darussalam	1
NA	NA	Bolivia	Bolivia	1
NA	NA	Brazil	Brazil	1
NA	NA	Bahamas, The	Bahamas, The	1
NA	NA	Bhutan	Bhutan	1
NA	NA	Botswana	Botswana	1
NA	NA	Belarus	Belarus	1
NA	NA	Belize	Belize	1
NA	NA	Canada	Canada	1
NA	NA	Congo, Dem. Rep.	Congo, Dem. Rep.	1
NA	NA	Central African Republic	Central African Republic	1
NA	NA	Congo, Rep.	Congo, Rep.	1
NA	NA	Switzerland	Switzerland	1
NA	NA	Cote d'Ivoire	Cote d'Ivoire	1
NA	NA	Chile	Chile	1
NA	NA	Cameroon	Cameroon	1
NA	NA	China	China	1
NA	NA	Colombia	Colombia	1
NA	NA	Costa Rica	Costa Rica	1
NA	NA	Cuba	Cuba	1
NA	NA	Cape Verde	Cape Verde	1
NA	NA	Curacao	Curacao	1
NA	NA	Cyprus	Cyprus	1
NA	NA	Czech Republic	Czech Republic	1
NA	NA	Germany	Germany	1
NA	NA	Djibouti	Djibouti	1
NA	NA	Denmark	Denmark	1
NA	NA	Dominica	Dominica	1
NA	NA	Dominican Republic	Dominican Republic	1
NA	NA	Algeria	Algeria	1
NA	NA	Ecuador	Ecuador	1
NA	NA	Estonia	Estonia	1
NA	NA	Egypt, Arab Rep.	Egypt, Arab Rep.	1
NA	NA	Eritrea	Eritrea	1
NA	NA	Spain	Spain	1
NA	NA	Ethiopia	Ethiopia	1
NA	NA	Finland	Finland	1
NA	NA	Fiji	Fiji	1
NA	NA	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	1
NA	NA	Faeroe Islands	Faeroe Islands	1
NA	NA	France	France	1
NA	NA	Gabon	Gabon	1
NA	NA	United Kingdom	United Kingdom	1
NA	NA	Grenada	Grenada	1
NA	NA	Georgia	Georgia	1
NA	NA	Ghana	Ghana	1
NA	NA	Greenland	Greenland	1
NA	NA	Gambia, The	Gambia, The	1
NA	NA	Guinea	Guinea	1
NA	NA	Equatorial Guinea	Equatorial Guinea	1
NA	NA	Greece	Greece	1
NA	NA	Guatemala	Guatemala	1
NA	NA	Guam	Guam	1
NA	NA	Guinea-Bissau	Guinea-Bissau	1
NA	NA	Guyana	Guyana	1
NA	NA	Hong Kong SAR, China	Hong Kong SAR, China	1
NA	NA	Honduras	Honduras	1
NA	NA	Croatia	Croatia	1
NA	NA	Haiti	Haiti	1
NA	NA	Hungary	Hungary	1
NA	NA	Indonesia	Indonesia	1
NA	NA	Ireland	Ireland	1
NA	NA	Israel	Israel	1
NA	NA	Isle of Man	Isle of Man	1
NA	NA	India	India	1
NA	NA	Iraq	Iraq	1
NA	NA	Iran, Islamic Rep.	Iran, Islamic Rep.	1
NA	NA	Iceland	Iceland	1
NA	NA	Italy	Italy	1
NA	NA	Channel Islands	Channel Islands	1
NA	NA	Jamaica	Jamaica	1
NA	NA	Jordan	Jordan	1
NA	NA	Japan	Japan	1
NA	NA	Kenya	Kenya	1
NA	NA	Kyrgyz Republic	Kyrgyz Republic	1
NA	NA	Cambodia	Cambodia	1
NA	NA	Kiribati	Kiribati	1
NA	NA	Comoros	Comoros	1
NA	NA	St. Kitts and Nevis	St. Kitts and Nevis	1
NA	NA	Korea, Dem. Rep.	Korea, Dem. Rep.	1
NA	NA	Korea, Rep.	Korea, Rep.	1
NA	NA	Kosovo	Kosovo	1
NA	NA	Kuwait	Kuwait	1
NA	NA	Cayman Islands	Cayman Islands	1
NA	NA	Kazakhstan	Kazakhstan	1
NA	NA	Lao PDR	Lao PDR	1
NA	NA	Lebanon	Lebanon	1
NA	NA	St. Lucia	St. Lucia	1
NA	NA	Liechtenstein	Liechtenstein	1
NA	NA	Sri Lanka	Sri Lanka	1
NA	NA	Liberia	Liberia	1
NA	NA	Lesotho	Lesotho	1
NA	NA	Lithuania	Lithuania	1
NA	NA	Luxembourg	Luxembourg	1
NA	NA	Latvia	Latvia	1
NA	NA	Libya	Libya	1
NA	NA	Morocco	Morocco	1
NA	NA	Monaco	Monaco	1
NA	NA	Moldova	Moldova	1
NA	NA	Montenegro	Montenegro	1
NA	NA	St. Martin (French part)	St. Martin (French part)	1
NA	NA	Madagascar	Madagascar	1
NA	NA	Marshall Islands	Marshall Islands	1
NA	NA	Macedonia, FYR	Macedonia, FYR	1
NA	NA	Mali	Mali	1
NA	NA	Myanmar	Myanmar	1
NA	NA	Mongolia	Mongolia	1
NA	NA	Macao SAR, China	Macao SAR, China	1
NA	NA	Northern Mariana Islands	Northern Mariana Islands	1
NA	NA	Mauritania	Mauritania	1
NA	NA	Malta	Malta	1
NA	NA	Mauritius	Mauritius	1
NA	NA	Maldives	Maldives	1
NA	NA	Malawi	Malawi	1
NA	NA	Mexico	Mexico	1
NA	NA	Malaysia	Malaysia	1
NA	NA	Mozambique	Mozambique	1
NA	NA	Namibia	Namibia	1
NA	NA	New Caledonia	New Caledonia	1
NA	NA	Niger	Niger	1
NA	NA	Nigeria	Nigeria	1
NA	NA	Nicaragua	Nicaragua	1
NA	NA	Netherlands	Netherlands	1
NA	NA	Norway	Norway	1
NA	NA	Nepal	Nepal	1
NA	NA	New Zealand	New Zealand	1
NA	NA	Oman	Oman	1
NA	NA	Panama	Panama	1
NA	NA	Peru	Peru	1
NA	NA	French Polynesia	French Polynesia	1
NA	NA	Papua New Guinea	Papua New Guinea	1
NA	NA	Philippines	Philippines	1
NA	NA	Pakistan	Pakistan	1
NA	NA	Poland	Poland	1
NA	NA	Puerto Rico	Puerto Rico	1
NA	NA	West Bank and Gaza	West Bank and Gaza	1
NA	NA	Portugal	Portugal	1
NA	NA	Palau	Palau	1
