fill	y	x	density	scaled	count	group	PANEL	ymin	ymax
#F8766D	0.0454545454545454	0.0454545454545455	0	0	0	1	1	0.0454545454545454	0.0454545454545454
#F8766D	0.0454545454545454	0.0472335883294787	6.34296951598228e-21	1.15691375753545e-20	3.17148475799114e-19	1	1	0.0454545454545454	0.0454545454545454
#F8766D	0.0454545454545455	0.049012631204412	4.72163896812522e-18	8.61194282358711e-18	2.36081948406261e-16	1	1	0.0454545454545454	0.0454545454545455
#F8766D	0.0454545454545455	0.0507916740793453	7.52034807975383e-18	1.37165946218096e-17	3.76017403987692e-16	1	1	0.0454545454545454	0.0454545454545455
#F8766D	0.0454545454545455	0.0525707169542786	2.07442210229434e-18	3.78360240110388e-18	1.03721105114717e-16	1	1	0.0454545454545454	0.0454545454545455
#F8766D	0.0454545454545454	0.0543497598292119	1.26428734170029e-18	2.30597264484012e-18	6.32143670850147e-17	1	1	0.0454545454545454	0.0454545454545454
#F8766D	0.0454545454545455	0.0561288027041452	8.39653332480311e-18	1.53146958921893e-17	4.19826666240156e-16	1	1	0.0454545454545454	0.0454545454545455
#F8766D	0.0454545454545455	0.0579078455790785	1.40835739140036e-17	2.56874644838252e-17	7.04178695700179e-16	1	1	0.0454545454545454	0.0454545454545455
#F8766D	0.0454545454545455	0.0596868884540117	1.36908013891462e-17	2.49710745714277e-17	6.8454006945731e-16	1	1	0.0454545454545454	0.0454545454545455
#F8766D	0.0454545454545455	0.061465931328945	1.12810953994072e-17	2.05759375553659e-17	5.64054769970362e-16	1	1	0.0454545454545454	0.0454545454545455
#F8766D	0.0454545454545455	0.0632449742038783	1.40123351786061e-17	2.55575299589263e-17	7.00616758930307e-16	1	1	0.0454545454545454	0.0454545454545455
#F8766D	0.0454545454545455	0.0650240170788116	3.79875308289469e-17	6.92866281637878e-17	1.89937654144734e-15	1	1	0.0454545454545454	0.0454545454545455
#F8766D	0.0454545454545457	0.0668030599537449	1.53147488775752e-16	2.79330424417521e-16	7.65737443878759e-15	1	1	0.0454545454545454	0.0454545454545457
#F8766D	0.0454545454545465	0.0685821028286782	6.42633771294069e-16	1.17211953989954e-15	3.21316885647035e-14	1	1	0.0454545454545454	0.0454545454545465
#F8766D	0.0454545454545497	0.0703611457036115	2.53530473879086e-15	4.62422044511076e-15	1.26765236939543e-13	1	1	0.0454545454545454	0.0454545454545497
#F8766D	0.0454545454545635	0.0721401885785447	1.09118815111129e-14	1.99025169662166e-14	5.45594075555645e-13	1	1	0.0454545454545454	0.0454545454545635
#F8766D	0.0454545454546263	0.073919231453478	4.8745154543513e-14	8.89077895810263e-14	2.43725772717565e-12	1	1	0.0454545454545454	0.0454545454546263
#F8766D	0.0454545454548901	0.0756982743284113	2.07836469253161e-13	3.79079341293884e-13	1.03918234626581e-11	1	1	0.0454545454545454	0.0454545454548901
#F8766D	0.0454545454559481	0.0774773172033446	8.45911982921497e-13	1.54288493463525e-12	4.22955991460749e-11	1	1	0.0454545454545454	0.0454545454559481
#F8766D	0.0454545454599943	0.0792563600782779	3.28618074379088e-12	5.99376633083342e-12	1.64309037189544e-10	1	1	0.0454545454545454	0.0454545454599943
#F8766D	0.0454545454747481	0.0810354029532112	1.21840720200315e-11	2.22229044413029e-11	6.09203601001575e-10	1	1	0.0454545454545454	0.0454545454747481
#F8766D	0.0454545455260315	0.0828144458281445	4.31127648064695e-11	7.8634700362848e-11	2.15563824032347e-09	1	1	0.0454545454545454	0.0454545455260315
#F8766D	0.0454545456959424	0.0845934887030777	1.45584838054154e-10	2.65536672703587e-10	7.27924190270772e-09	1	1	0.0454545454545454	0.0454545456959424
#F8766D	0.0454545462324809	0.086372531578011	4.69167435844235e-10	8.55728944854889e-10	2.34583717922117e-08	1	1	0.0454545454545454	0.0454545462324809
#F8766D	0.0454545478472672	0.0881515744529443	1.44303387158945e-09	2.63199394924562e-09	7.21516935794725e-08	1	1	0.0454545454545454	0.0454545478472672
#F8766D	0.0454545524797281	0.0899306173278776	4.236838849743e-09	7.7277009472893e-09	2.1184194248715e-07	1	1	0.0454545454545454	0.0454545524797281
#F8766D	0.0454545651507156	0.0917096602028109	1.18786233286547e-08	2.16657871599024e-08	5.93931166432735e-07	1	1	0.0454545454545454	0.0454545651507156
#F8766D	0.0454545982130376	0.0934887030777442	3.1818279976415e-08	5.80343414122945e-08	1.59091399882075e-06	1	1	0.0454545454545454	0.0454545982130376
#F8766D	0.0454546829131832	0.0952677459526775	8.29003491347074e-08	1.51204501577338e-07	4.14501745673537e-06	1	1	0.0454545454545454	0.0454546829131832
#F8766D	0.0454549131977409	0.0970467888276108	2.21783365395423e-07	4.04517514977748e-07	1.10891682697711e-05	1	1	0.0454545454545454	0.0454549131977409
#F8766D	0.0454554873150828	0.098825831702544	5.68029544232915e-07	1.0360465910388e-06	2.84014772116458e-05	1	1	0.0454545454545454	0.0454554873150828
#F8766D	0.0454568556886136	0.100604874577477	1.39328611066131e-06	2.54125747498174e-06	6.96643055330655e-05	1	1	0.0454545454545454	0.0454568556886136
#F8766D	0.045459974754414	0.102383917452411	3.2743730177634e-06	5.97222985544603e-06	0.00016371865088817	1	1	0.0454545454545454	0.045459974754414
#F8766D	0.0454667769030122	0.104162960327344	7.37670156321397e-06	1.34545933134504e-05	0.000368835078160698	1	1	0.0454545454545454	0.0454667769030122
#F8766D	0.0454809771920018	0.105942003202277	1.59407971625517e-05	2.9074911202032e-05	0.000797039858127586	1	1	0.0454545454545454	0.0454809771920018
#F8766D	0.0455093726981371	0.10772104607721	3.30659295673782e-05	6.03099679508295e-05	0.00165329647836891	1	1	0.0454545454545454	0.0455093726981371
#F8766D	0.0455638002309041	0.109500088952144	6.58907963143386e-05	0.000120180253994519	0.00329453981571693	1	1	0.0454545454545454	0.0455638002309041
#F8766D	0.0456638826720455	0.111279131827077	0.000126249821005791	0.000230270939250081	0.00631249105028955	1	1	0.0454545454545454	0.0456638826720455
#F8766D	0.0458405875802934	0.11305817470201	0.000232819323092213	0.000424646338322752	0.0116409661546107	1	1	0.0454545454545454	0.0458405875802934
#F8766D	0.0461404225153433	0.114837217576944	0.000413647688604013	0.000754464766877587	0.0206823844302006	1	1	0.0454545454545454	0.0461404225153433
#F8766D	0.0466297906001452	0.116616260451877	0.000708782179498662	0.00129276966015968	0.0354391089749331	1	1	0.0454545454545454	0.0466297906001452
#F8766D	0.0473986384654889	0.11839530332681	0.00117246898368722	0.00213850231203782	0.0586234491843611	1	1	0.0454545454545454	0.0473986384654889
#F8766D	0.0486014224525272	0.120174346201743	0.00189785964706582	0.00346156469777987	0.0948929823532909	1	1	0.0454545454545454	0.0486014224525272
#F8766D	0.0503728859693991	0.121953389076677	0.00296621698263273	0.00541017456633899	0.148310849131636	1	1	0.0454545454545454	0.0503728859693991
#F8766D	0.0528568627795644	0.12373243195161	0.00446428613350314	0.00814254905752087	0.223214306675157	1	1	0.0454545454545454	0.0528568627795644
